annual_income,monthly_income,emi_loans,rent_house,food,shopping,education,education_fees,medical,transport,transportation,tax_pf_deductions,tax_pf,other_expenses,savings_goal,dependents,city_tier,housing_type,investment_preference,risk_level,total_expenses,savings,savings_ratio,emi_ratio,shopping_ratio,expense_to_income_ratio,essential_ratio,discretionary_ratio,tax_ratio,goal_coverage_ratio,financial_health_score,spender_class,rec_rent_house_pct,rec_food_pct,rec_shopping_pct,rec_emi_loans_pct,rec_education_pct,rec_medical_pct,rec_transport_pct,rec_savings_pct,rec_emergency_fund_pct,rec_investments_pct,rec_tax_pf_pct,forecast_savings_m1,forecast_savings_m2,forecast_savings_m3,forecast_savings_m4,forecast_savings_m5,forecast_savings_m6,forecast_savings_m7,forecast_savings_m8,forecast_savings_m9,forecast_savings_m10,forecast_savings_m11,forecast_savings_m12
1026000.0,85500.0,9680.83,5038.64,14533.71,13062.57,5994.66,5994.66,6095.32,5422.0,5422.0,10818.66,10818.66,2912.6,20319.61,2,Tier 2,Family Home,Equity,Low,73558.99,11941.01,0.1397,0.1132,0.1528,0.8603,0.5603,0.1868,0.1265,0.5877,78.72,Moderate,6.47,11.65,9.22,9.16,5.02,3.8,4.45,21.03,7.28,7.68,10.24,11435.04,13259.42,12609.22,12507.14,11980.72,13436.7,12084.64,11740.83,11813.12,12714.71,12840.27,13223.15
1104000.0,92000.0,0.0,6073.09,9511.69,13412.0,4222.07,4222.07,4855.46,3957.92,3957.92,12746.39,12746.39,6748.92,20125.13,1,Tier 2,Family Home,Balanced,Medium,61527.54,30472.46,0.3312,0.0,0.1458,0.6688,0.4496,0.2191,0.1385,1.5141,100.0,Moderate,7.5,11.9,11.43,0.0,3.84,3.84,5.15,22.49,6.56,10.31,12.98,31900.76,33595.27,33824.17,34734.46,34357.59,34557.1,34853.88,33091.37,34627.15,35381.27,36491.91,38335.16
2047200.0,170600.0,27059.68,45190.73,23276.87,26816.39,10556.43,10556.43,4783.22,5902.9,5902.9,40944.0,40944.0,5442.09,42187.17,2,Tier 2,Rented,Balanced,Medium,189972.31,-19372.31,-0.1136,0.1586,0.1572,1.1136,0.7659,0.1891,0.24,0.0,22.25,Risky,15.35,9.21,7.29,10.15,3.97,3.01,3.52,15.35,5.76,7.04,15.35,-20298.0,-20424.06,-23217.7,-22913.95,-22657.15,-24713.33,-23885.08,-26379.73,-26623.22,-27590.71,-30065.26,-28360.82
655200.0,54600.0,3262.89,12951.66,6275.32,3011.27,4411.29,4411.29,1894.7,2631.34,2631.34,3544.65,3544.65,6102.76,10007.1,2,Tier 2,Rented,Balanced,Medium,44085.88,10514.12,0.1926,0.0598,0.0552,0.8074,0.5808,0.1669,0.0649,1.0507,93.4,Moderate,18.78,11.27,8.92,4.68,4.85,3.68,4.3,18.78,7.04,8.61,5.08,11251.02,10621.46,11206.0,10871.25,11173.43,11723.32,10223.68,11364.28,11322.98,11061.33,10902.44,12107.85
632400.0,52700.0,13973.93,7783.78,8269.78,10038.38,1578.87,1578.87,2080.83,2019.55,2019.55,3802.37,3802.37,2685.95,5625.65,2,Tier 2,Owned,Debt,Medium,52233.44,466.56,0.0089,0.2652,0.1905,0.9911,0.4845,0.2414,0.0722,0.0829,41.66,Risky,10.55,10.85,8.59,19.98,4.67,3.54,4.14,14.31,6.78,7.16,5.44,622.28,-11.11,-854.99,-805.88,-300.42,-221.27,192.1,480.72,-1026.98,-1952.57,-2736.31,-1650.97
536400.0,44700.0,6536.58,9107.72,4409.9,9263.46,0.0,0.0,2355.21,2056.77,2056.77,3043.91,3043.91,998.69,6151.45,0,Tier 2,Rented,Equity,High,37772.24,6927.76,0.155,0.1462,0.2072,0.845,0.4692,0.2296,0.0681,1.1262,78.77,Moderate,18.44,8.45,9.99,11.23,1.54,2.69,4.23,16.91,5.38,11.91,5.23,6805.68,8259.5,7038.14,7815.45,6994.75,7742.64,7416.93,7131.36,7210.13,7041.77,7717.69,7536.95
422400.0,35200.0,0.0,3826.59,4847.98,6013.77,2876.55,2876.55,2768.25,2052.1,2052.1,2584.73,2584.73,736.35,3780.06,2,Tier 3,Family Home,Equity,High,25706.32,9493.68,0.2697,0.0,0.1708,0.7303,0.5385,0.1918,0.0734,2.5115,100.0,Moderate,7.38,13.29,10.52,0.0,5.72,4.34,5.07,20.3,8.3,14.3,6.78,10583.17,10918.67,10279.76,10301.51,11150.47,9955.37,10007.62,10710.16,10352.94,10758.34,11027.07,11662.37
1946400.0,162200.0,0.0,20447.69,19933.98,6009.25,0.0,0.0,4263.42,10883.93,10883.93,26823.7,26823.7,16398.3,40608.17,0,Tier 1,Owned,Balanced,Medium,104760.27,57439.73,0.3541,0.0,0.037,0.6459,0.5077,0.1381,0.1654,1.4145,100.0,Safe,13.83,9.51,11.24,0.0,1.73,3.03,6.05,20.75,6.05,9.51,14.3,62002.56,61731.0,62497.51,64280.21,65475.86,65448.43,63456.66,65752.87,66998.21,72506.78,73981.19,72538.57
728400.0,60700.0,0.0,2124.5,4457.79,4909.47,0.0,0.0,2021.51,1418.01,1418.01,7111.02,7111.02,739.71,22440.4,0,Tier 2,Family Home,Equity,Low,22782.01,37917.99,0.6247,0.0,0.0809,0.3753,0.2823,0.0931,0.1172,1.6897,100.0,Safe,7.9,10.86,12.84,0.0,1.98,3.46,5.43,25.68,6.91,9.38,11.57,39344.55,39455.0,39455.0,39455.0,39455.0,39455.0,39455.0,39455.0,39455.0,39455.0,39455.0,39455.0
691200.0,57600.0,0.0,16433.5,5983.82,7450.36,0.0,0.0,2016.09,3456.69,3456.69,3648.16,3648.16,4400.28,11675.72,0,Tier 1,Rented,Debt,Low,43388.9,14211.1,0.2467,0.0,0.1293,0.7533,0.5475,0.2057,0.0633,1.2171,99.42,Moderate,23.04,9.75,11.52,0.0,1.77,3.1,6.2,23.04,6.2,5.76,5.61,15915.55,16048.14,15667.85,15153.94,14959.6,16206.95,15586.92,15706.6,14566.63,16424.42,16631.73,16311.71
